PERMNO,date,TICKER,BIDLO,ASKHI,PRC,BID,ASK,OPENPRC
14593,20201006,AAPL,112.25000,116.12000,113.16000,113.14000,113.17000,115.70000
14593,20201007,AAPL,114.13000,115.55000,115.08000,115.03000,115.06000,114.62000
14593,20201008,AAPL,114.59010,116.40000,114.97000,114.97000,114.98000,116.25000
14593,20201009,AAPL,114.92000,117.00000,116.97000,116.97000,116.98000,115.28000
14593,20201012,AAPL,119.28450,125.18000,124.40000,124.29000,124.42000,120.06000
14593,20201013,AAPL,119.65000,125.39000,121.10000,121.04000,121.08000,125.27000
14593,20201014,AAPL,119.62000,123.03000,121.19000,121.24000,121.29000,121.00000
14593,20201015,AAPL,118.15000,121.20000,120.71000,120.70000,120.77000,118.72000
14593,20201016,AAPL,118.81000,121.54800,119.02000,118.96000,119.02000,121.28000
14593,20201019,AAPL,115.66000,120.41900,115.98000,116.00000,116.01000,119.96000
14593,20201020,AAPL,115.63000,118.98000,117.51000,117.49000,117.50000,116.20000
14593,20201021,AAPL,116.45000,118.70500,116.87000,116.86000,116.87000,116.67000
14593,20201022,AAPL,114.59000,118.04000,115.75000,115.74000,115.81000,117.45000
14593,20201023,AAPL,114.28000,116.55000,115.04000,115.04000,115.05000,116.39000
14593,20201026,AAPL,112.88000,116.55000,115.05000,115.05000,115.07000,114.01000
14593,20201027,AAPL,114.53990,117.28000,116.60000,116.53000,116.55000,115.49000
14593,20201028,AAPL,111.10000,115.43000,111.20000,111.14000,111.24000,115.05000
14593,20201029,AAPL,112.20000,116.93000,115.32000,114.52000,114.61000,112.37000
14593,20201030,AAPL,107.72000,111.99000,108.86000,108.89000,108.97000,111.06000
14593,20201102,AAPL,107.32000,110.68000,108.77000,108.76000,108.77000,109.11000
14593,20201103,AAPL,108.73000,111.49000,110.44000,110.37000,110.38000,109.66000
14593,20201104,AAPL,112.35000,115.59000,114.95000,114.93000,114.94000,114.14000
14593,20201105,AAPL,116.86860,119.62000,119.03000,118.98000,119.01000,117.95000
14593,20201106,AAPL,116.13000,119.20000,118.69000,118.68000,118.69000,118.32000
14593,20201109,AAPL,116.05000,121.99000,116.32000,116.31000,116.32000,120.50000
14593,20201110,AAPL,114.13000,117.59000,115.97000,115.97000,115.98000,115.55000
14593,20201111,AAPL,116.44000,119.63000,119.49000,119.49000,119.51000,117.19000
14593,20201112,AAPL,118.57000,120.53000,119.21000,119.23000,119.26000,119.62000
14593,20201113,AAPL,117.87000,119.67170,119.26000,119.24000,119.25000,119.44000
14593,20201116,AAPL,118.14600,120.99000,120.30000,120.34000,120.35000,118.92000
14593,20201117,AAPL,118.96000,120.67410,119.39000,119.36000,119.39000,119.55000
14593,20201118,AAPL,118.00000,119.82000,118.03000,118.00000,118.01000,118.61000
14593,20201119,AAPL,116.81000,119.06000,118.64000,118.63000,118.64000,117.59000
14593,20201120,AAPL,117.29000,118.77000,117.34000,117.32000,117.33000,118.64000
14593,20201123,AAPL,113.75000,117.62020,113.85000,113.85000,113.88000,117.18000
14593,20201124,AAPL,112.59000,115.85000,115.17000,115.16000,115.17000,113.91000
14593,20201125,AAPL,115.17000,116.75000,116.03000,116.02000,116.03000,115.55000
14593,20201127,AAPL,116.22000,117.49000,116.59000,116.59000,116.60000,116.57000
14593,20201130,AAPL,116.81000,120.97000,119.05000,119.05000,119.07000,116.97000
14593,20201201,AAPL,120.01000,123.46930,122.72000,122.70000,122.71000,121.01000
14593,20201202,AAPL,120.89000,123.37000,123.08000,123.07000,123.08000,122.02000
14593,20201203,AAPL,122.21000,123.78000,122.94000,122.94000,123.05000,123.52000
14593,20201204,AAPL,121.52000,122.86080,122.25000,122.24000,122.25000,122.60000
14593,20201207,AAPL,122.25000,124.57000,123.75000,123.76000,123.80000,122.31000
14593,20201208,AAPL,123.09000,124.98000,124.38000,124.34000,124.37000,124.37000
14593,20201209,AAPL,121.00000,125.95000,121.78000,121.67000,121.74000,124.53000
14593,20201210,AAPL,120.15000,123.87000,123.24000,123.22000,123.25000,120.50000
14593,20201211,AAPL,120.55000,122.76000,122.41000,122.48000,122.49000,122.43000
14593,20201214,AAPL,121.54000,123.35000,121.78000,121.70000,121.77000,122.60000
14593,20201215,AAPL,124.13000,127.90000,127.88000,127.89000,127.90000,124.34000
14593,20201216,AAPL,126.56000,128.37000,127.81000,127.74000,127.75000,127.41000
14593,20201217,AAPL,128.04500,129.58000,128.70000,128.64999,128.70000,128.89999
14593,20201218,AAPL,126.12000,129.10001,126.65500,126.65000,126.66000,128.96001
14593,20201221,AAPL,123.44900,128.31000,128.23000,128.23000,128.24001,125.02000
14593,20201222,AAPL,129.64999,134.40500,131.88000,131.84000,131.88000,131.61000
14593,20201223,AAPL,130.78000,132.42999,130.96001,130.95000,130.96001,132.16000
14593,20201224,AAPL,131.10001,133.46001,131.97000,131.97000,132.00000,131.32001
14593,20201228,AAPL,133.50999,137.34000,136.69000,136.72000,136.74001,133.99001
14593,20201229,AAPL,134.34090,138.78900,134.87000,134.89000,134.92999,138.05000
14593,20201230,AAPL,133.39999,135.99001,133.72000,133.71001,133.72000,135.58000
14593,20201231,AAPL,131.72000,134.74001,132.69000,132.58000,132.61000,134.08000
